topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,2,1000000,1,1,1000,10,512,100,5,29,2.0
4,10,4,1000000,1,0,1,1000,1024,100,5,0,2.0
4,10,4,1000000,1,0,1,10,1024,10000,2,0,2.0
4,1,4,10,10,0,1,10,512,10000,2,0,2.0
4,1,2,1000000,10,0,1,10,512,100,5,0,0.000708115962159
2,1,4,10,10,0,1,10,512,10000,2,0,2.0
4,10,4,10,10,1,1000,10,1024,100,2,29,0.399770951721
4,1,4,10,10,1,1,10,512,100,2,29,0.145896399911
4,10,2,10,1,1,1000,1000,512,100,2,0,2.0
4,10,2,1000000,1,1,1,10,512,10000,2,0,2.0
2,1,2,1000000,10,0,1000,10,1024,100,5,29,2.0
4,1,2,10,10,0,1000,1000,1024,10000,2,29,0.526500559003
4,10,4,10,10,1,1000,1000,1024,10000,2,0,0.446859301444
4,10,2,10,10,0,1,1000,512,10000,2,0,0.144429782813
4,10,4,1000000,10,1,1000,10,512,10000,2,0,2.0
4,10,4,10,10,0,1000,10,512,100,5,0,0.179681701875
4,1,4,10,10,0,1000,1000,1024,100,2,29,2.0
4,10,2,1000000,1,0,1000,10,1024,10000,2,29,2.0
2,10,4,10,10,1,1,1000,1024,10000,2,29,0.148709799099
4,10,4,10,10,0,1000,10,1024,100,2,0,0.429932606425
2,1,2,10,1,0,1,10,1024,100,2,0,0.0149943554987
4,1,4,10,1,0,1000,1000,512,100,2,0,2.0
4,10,2,1000000,1,0,1000,10,512,100,5,29,0.000130729100706
4,10,2,10,1,0,1000,1000,512,10000,2,0,0.604283012162
2,10,2,10,1,1,1,10,1024,10000,2,0,2.0
4,1,4,1000000,1,0,1,10,512,100,2,0,0.00193778656568
4,10,4,1000000,1,0,1,10,1024,100,2,0,0.00232725034487
4,10,4,1000000,1,1,1000,10,1024,10000,2,0,2.0
2,1,2,1000000,10,0,1,10,1024,10000,5,0,2.0
4,1,4,10,1,0,1,1000,1024,100,2,29,2.0
4,1,2,1000000,1,1,1000,10,512,10000,5,0,2.0
4,10,2,10,1,0,1,10,1024,100,2,29,0.0146280416645
2,10,2,10,1,0,1000,10,512,100,2,29,0.801860983219
2,1,4,1000000,10,0,1000,1000,512,100,2,29,2.0
4,1,4,1000000,1,0,1000,1000,512,10000,2,29,8.98762567356e-05
4,10,2,1000000,10,0,1,1000,512,100,5,0,2.0
4,1,2,1000000,10,0,1,1000,512,10000,2,0,0.00676386920009
2,1,2,1000000,10,1,1,1000,1024,100,2,0,2.0
2,10,4,1000000,10,0,1000,10,512,10000,2,0,2.0
2,1,4,10,10,1,1,1000,1024,10000,2,0,0.149349826988
4,1,4,10,10,1,1,1000,1024,10000,5,29,0.0819317403448
2,10,2,1000000,10,0,1000,1000,512,10000,2,29,2.0
2,1,2,1000000,1,1,1,1000,512,100,5,29,2.0
2,1,2,1000000,1,1,1000,1000,1024,10000,5,29,2.0
4,1,2,1000000,10,1,1000,1000,512,100,2,0,2.0
2,1,4,10,10,1,1000,1000,512,10000,5,0,0.305572464094
2,1,4,10,10,0,1,1000,1024,100,5,29,2.0
2,10,2,1000000,1,1,1,10,1024,100,2,0,0.00253151456472
4,10,4,10,1,1,1,10,1024,10000,5,29,2.0
2,1,4,1000000,1,0,1,10,1024,10000,5,29,2.0
4,1,4,1000000,10,1,1,10,1024,100,5,0,2.0
4,10,4,10,1,1,1,10,512,10000,2,0,2.0
4,1,2,10,1,0,1000,10,512,100,2,29,0.475380033581
2,10,4,10,1,0,1000,1000,1024,10000,2,29,0.944629417044
4,10,2,1000000,10,1,1000,10,1024,100,5,0,2.0
2,1,2,10,10,1,1000,1000,1024,100,5,0,2.0
2,1,4,10,1,0,1000,1000,512,10000,5,0,0.187852270669
2,10,2,1000000,1,0,1000,10,1024,10000,5,29,2.0
4,1,2,10,10,0,1,1000,512,100,2,29,2.0
2,10,2,10,10,0,1000,10,512,10000,2,0,2.0
2,1,2,1000000,10,0,1,1000,512,10000,5,0,2.0
2,10,4,10,1,0,1,1000,1024,10000,5,0,0.0148976704347
4,1,4,1000000,1,0,1000,1000,1024,10000,2,29,0.00218018010657
4,10,4,10,1,0,1,1000,512,10000,5,0,0.0144060745455
4,1,4,1000000,1,0,1,10,1024,10000,2,29,2.0
2,1,4,1000000,10,1,1000,10,1024,100,5,0,2.0
2,1,4,10,10,0,1,1000,512,100,5,0,2.0
4,1,4,10,1,1,1,1000,1024,100,2,0,2.0
4,10,4,10,10,0,1000,10,512,10000,2,29,2.0
2,10,4,10,10,0,1,1000,1024,100,5,0,2.0
2,10,4,1000000,1,0,1,1000,512,100,5,29,2.0
4,10,4,1000000,1,0,1000,1000,512,100,2,0,2.0
2,1,2,10,10,1,1,10,512,100,5,29,0.139705832288
2,10,4,10,1,1,1000,1000,512,100,5,29,2.0
4,10,2,10,1,1,1000,10,1024,100,5,29,0.207851099554
2,1,4,10,10,0,1,10,512,100,5,29,0.138024056878
4,1,4,1000000,1,0,1000,1000,1024,100,5,29,2.0
2,1,4,10,10,0,1000,1000,512,10000,2,29,0.780360131437
4,10,2,1000000,1,1,1000,1000,1024,10000,5,0,2.0
2,1,4,1000000,1,1,1,10,512,100,2,0,0.00130865276853
4,1,4,1000000,10,1,1,1000,512,100,2,0,2.0
2,10,2,1000000,10,0,1,10,1024,100,5,29,2.0
4,10,2,1000000,10,1,1000,1000,512,100,5,0,2.0
4,10,2,1000000,1,0,1000,1000,1024,10000,5,29,3.5405798108e-05
2,10,2,1000000,10,0,1000,1000,1024,10000,5,0,2.0
2,10,2,10,10,0,1000,10,1024,100,5,0,0.266434077808
2,1,4,10,10,1,1000,1000,512,100,2,29,2.0
4,1,4,10,10,0,1000,1000,1024,10000,5,29,0.184829160215
4,10,2,1000000,10,1,1000,1000,512,10000,2,0,2.0
4,1,2,1000000,10,1,1000,1000,512,100,2,29,2.0
2,10,4,10,10,0,1,1000,512,100,5,0,2.0
2,1,2,10,1,0,1,10,1024,100,2,29,0.0147315355358
2,10,4,10,1,0,1,1000,1024,100,5,0,2.0
2,1,2,10,10,0,1,10,1024,100,5,29,0.142305434926
2,10,2,10,1,0,1000,10,1024,10000,5,29,2.0
2,10,4,1000000,1,1,1000,10,512,100,5,29,2.0
2,1,4,1000000,1,1,1,10,512,100,5,0,0.0
2,10,2,1000000,10,1,1000,10,1024,100,5,29,2.0
4,1,4,1000000,1,0,1000,1000,512,10000,2,0,0.00164909313495
4,1,4,10,1,0,1,10,512,100,5,29,0.0147614942881
2,10,2,10,10,0,1,10,512,10000,2,29,2.0
4,1,2,1000000,1,0,1,10,1024,100,2,29,0.00333495382948
4,1,4,1000000,10,1,1,1000,1024,10000,2,29,0.00549743103699
2,10,4,1000000,10,1,1,10,1024,100,2,29,2.0
2,10,4,10,1,0,1,1000,512,10000,5,29,0.0147478766734
2,1,4,10,10,0,1,1000,512,100,2,0,2.0
4,1,2,1000000,1,0,1000,10,512,100,5,0,2.0
4,10,4,1000000,1,0,1000,10,512,10000,2,0,2.0
2,1,2,10,10,0,1,10,512,100,5,29,0.14065498003
2,10,2,10,1,0,1,10,1024,10000,5,29,2.0
4,10,2,10,10,0,1,1000,1024,100,5,0,2.0
2,10,4,10,10,1,1000,1000,1024,100,2,0,2.0
4,10,4,1000000,1,0,1,1000,1024,10000,2,29,0.00236265614297
4,1,2,10,10,0,1,10,1024,100,2,29,0.144944528647
2,1,2,1000000,1,1,1,10,1024,100,5,0,2.0
4,10,4,10,10,0,1,1000,1024,100,2,29,2.0
2,1,2,1000000,10,1,1000,10,1024,100,2,0,2.0
2,1,4,10,10,0,1,10,512,10000,5,29,2.0
2,10,2,1000000,1,0,1,10,512,10000,2,0,2.0
4,1,2,1000000,1,1,1000,1000,512,10000,5,29,1.49793761226e-05
2,1,2,10,1,1,1,10,1024,10000,2,29,2.0
2,1,2,1000000,1,1,1000,10,512,10000,2,29,2.0
2,1,4,1000000,1,0,1000,1000,1024,100,2,0,2.0
2,10,2,1000000,10,0,1000,1000,512,10000,2,0,2.0
2,10,4,1000000,10,1,1000,1000,1024,10000,2,29,2.0
2,1,4,10,1,1,1,10,1024,10000,2,29,2.0
2,10,2,1000000,1,1,1000,10,512,100,5,29,2.0
2,10,4,1000000,1,0,1000,10,512,10000,5,29,2.0
2,1,4,10,10,1,1,10,1024,10000,2,29,2.0
2,1,4,10,1,0,1000,1000,512,10000,2,0,0.988717806257
4,1,2,1000000,1,1,1,1000,512,100,5,0,2.0
4,1,4,1000000,1,1,1,1000,512,100,5,29,2.0
2,1,4,10,1,1,1000,10,512,10000,5,0,2.0
2,1,4,1000000,10,1,1,1000,1024,100,2,29,2.0
4,10,2,10,1,1,1000,1000,512,10000,2,29,0.602764648128
4,10,4,1000000,1,1,1000,1000,1024,100,2,29,2.0
2,1,2,1000000,10,1,1000,10,1024,10000,2,0,2.0
2,10,2,10,10,1,1000,1000,512,100,5,29,2.0
4,1,4,10,1,1,1000,1000,512,100,2,0,2.0
4,10,4,10,10,0,1,10,512,10000,5,0,2.0
2,1,2,1000000,1,1,1,10,1024,10000,5,29,2.0
2,1,4,10,1,0,1000,1000,512,100,2,29,2.0
2,1,2,10,10,0,1000,10,1024,10000,2,0,2.0
4,10,4,10,10,0,1,1000,1024,10000,2,29,0.142999933274
4,10,2,10,1,1,1,1000,1024,10000,2,0,0.0146307651874
4,1,4,10,1,0,1,10,1024,100,2,29,0.0148309441228
4,1,2,1000000,1,0,1000,10,512,10000,5,29,2.0
4,1,4,1000000,1,1,1000,10,512,10000,2,29,2.0
