fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,1,1,0,128,8,1024,129666.0
0,0,0,1,1,128,2,256,46335.6
0,0,1,1,1,256,2,256,46651.4
1,1,0,1,0,128,32,1024,134356.6
1,1,0,0,0,64,2,4096,130337.2
1,1,0,0,1,64,32,4096,134364.4
1,1,1,1,0,128,32,1024,126388.4
1,0,0,0,1,128,32,256,133749.4
1,1,1,1,1,128,8,1024,130226.0
0,1,1,1,1,64,32,1024,47233.2
0,1,1,0,1,256,8,256,47092.0
1,0,0,0,1,256,8,1024,135761.2
1,1,0,0,1,64,8,1024,134931.8
1,0,1,0,1,128,32,1024,140847.2
0,1,0,1,1,128,8,256,47454.8
0,0,1,0,0,64,2,1024,46199.0
1,1,1,1,1,64,2,256,128684.6
0,0,1,1,0,64,32,1024,46819.6
0,0,0,1,1,256,32,256,47443.6
1,0,1,1,0,128,32,4096,138185.4
0,1,0,1,0,128,2,4096,46394.4
1,0,1,0,0,256,8,4096,137294.8
0,1,0,0,0,256,32,1024,46094.8
0,1,0,1,0,256,8,4096,46431.0
0,0,1,1,0,256,2,256,46610.2
0,1,0,1,0,256,8,256,46658.8
0,0,1,1,1,128,8,256,46778.0
1,0,0,1,0,128,8,4096,131102.8
1,0,1,0,0,128,2,4096,138294.4
0,1,1,1,0,64,8,256,46687.4
0,1,0,0,1,128,2,256,47040.2
0,0,1,1,1,256,8,4096,46812.0
1,0,0,1,0,64,32,256,130240.8
0,0,0,0,0,64,2,256,46272.2
1,1,1,1,1,64,8,1024,131358.0
1,1,1,0,1,128,2,4096,134358.4
0,1,0,1,0,256,2,4096,47670.8
1,1,0,1,0,64,8,4096,135789.2
1,0,0,1,1,256,32,4096,131185.4
0,0,1,1,1,64,2,256,46643.2
1,1,1,0,0,64,8,256,130526.8
1,0,0,0,0,256,2,4096,132200.2
0,0,1,0,0,128,32,1024,46138.8
1,0,0,1,0,64,8,1024,131169.0
1,0,1,0,0,64,32,256,137127.0
0,1,0,1,1,64,8,1024,47491.4
1,0,1,0,0,256,2,256,136837.8
1,0,1,0,0,256,32,4096,138631.4
0,0,1,1,1,64,2,256,46643.2
0,1,0,1,0,128,2,4096,46394.4
0,1,1,0,1,128,2,256,46285.6
0,0,1,1,0,64,32,4096,46914.0
1,0,0,0,0,64,32,1024,135660.4
1,1,1,1,1,64,32,1024,130551.4
1,0,1,0,0,128,2,256,135048.6
1,1,0,0,0,64,2,1024,132621.4
1,0,1,1,1,128,2,1024,137186.6
0,0,0,1,1,256,8,4096,46339.4
1,0,1,1,0,64,2,1024,140228.0
0,0,1,1,0,256,2,256,46610.2
1,1,0,1,0,64,8,4096,135789.2
0,1,0,1,1,64,8,256,46752.4
1,0,0,0,1,128,8,4096,140983.4
1,0,1,0,0,128,2,256,135048.6
0,1,1,0,1,64,8,1024,46293.6
0,0,1,0,0,128,32,256,46078.8
0,1,1,1,0,128,2,256,46517.8
0,0,0,1,0,64,32,1024,46258.0
0,1,1,1,1,64,2,4096,46733.4
1,1,1,0,0,128,32,256,134640.4
1,0,1,0,1,64,8,256,138369.4
0,1,1,0,0,128,32,1024,46311.2
1,1,1,0,0,64,8,4096,130763.8
0,0,1,0,0,64,8,1024,46291.6
0,1,1,1,1,64,2,4096,46733.4
1,1,1,0,1,128,8,256,128988.8
0,1,1,1,1,128,32,1024,46752.2
1,1,0,0,1,256,2,4096,132262.2
1,0,0,1,0,64,8,1024,131169.0
1,1,0,1,1,64,8,256,132419.2
0,0,1,0,1,64,32,4096,47106.4
1,0,1,1,1,128,32,1024,142199.6
0,1,0,0,1,64,32,4096,46295.6
1,1,0,1,0,256,2,4096,129499.4
0,0,1,0,0,128,2,4096,46307.2
0,0,1,1,0,64,8,256,46557.4
1,1,1,0,1,256,8,256,132414.6
1,0,0,0,1,256,32,4096,129652.6
1,0,1,1,0,128,32,4096,138185.4
1,1,0,0,1,64,32,4096,134364.4
0,1,1,0,0,128,32,1024,46311.2
0,1,0,1,1,256,32,1024,46390.0
1,0,1,0,1,128,8,4096,137829.6
1,1,1,1,1,256,8,4096,134411.4
1,1,1,1,0,128,2,256,128216.6
