new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
2,1,1,1,1,0,0,0,1,1,41.722
3,1,1,1,0,1,0,0,1,0,29.604
4,3,1,0,1,1,1,1,1,1,44.68
1,2,3,0,0,0,0,1,1,0,118.902
2,3,1,0,1,1,0,0,0,0,86.796
3,2,2,0,0,1,0,0,1,1,40.146
1,1,2,1,0,1,1,1,0,0,88.866
4,2,1,0,0,0,0,0,1,0,30.03
3,1,3,0,0,1,1,1,1,1,34.108
2,3,3,1,0,1,0,0,0,1,84.43
4,2,1,1,0,0,1,0,0,0,34.074
4,2,3,0,1,0,1,0,1,0,32.838
1,3,1,0,0,1,0,0,1,0,141.752
4,3,3,0,1,0,0,1,1,0,40.81
1,1,3,1,1,1,0,0,1,1,79.862
3,1,1,0,1,0,0,1,1,1,34.722
4,1,3,0,0,0,1,0,0,1,25.094
1,2,2,1,1,1,1,1,0,0,132.146
1,2,1,0,0,0,1,0,0,0,130.518
3,2,2,0,1,1,1,0,0,0,49.97
3,3,1,1,1,1,1,0,1,1,56.06
2,2,1,0,0,0,1,1,0,1,75.42
2,3,1,0,0,1,1,1,0,1,104.944
3,2,1,0,0,1,1,1,1,1,46.07
4,3,1,1,0,1,1,0,0,1,47.374
3,1,3,1,1,1,1,0,0,1,29.97
4,3,3,0,0,0,1,1,0,1,53.14
3,2,1,1,0,1,0,0,0,0,43.066
3,1,3,1,1,0,1,0,0,1,30.116
2,3,1,1,0,1,0,0,0,1,83.504
1,3,2,0,0,0,1,1,1,1,165.592
3,1,2,1,0,1,0,0,1,0,30.136
2,3,1,1,1,1,1,1,0,0,98.636
4,3,3,0,1,0,1,0,1,1,43.29
3,2,3,1,0,1,1,1,0,0,51.006
2,3,1,0,1,1,1,0,0,1,95.76
2,1,1,1,1,0,1,0,1,1,41.986
1,2,1,1,1,1,1,0,0,0,122.262
2,1,2,0,0,1,0,1,0,0,49.786
1,1,2,0,0,0,1,1,1,1,95.364
3,2,1,0,0,0,1,0,0,1,50.148
3,3,2,0,0,1,0,0,0,0,62.446
2,1,3,0,1,1,1,1,1,0,49.524
2,2,2,1,0,1,0,1,0,1,67.802
4,2,3,0,1,1,0,0,0,0,34.49
1,3,2,0,1,1,0,1,0,1,181.616
3,1,2,0,0,1,0,1,1,0,33.714
1,3,3,1,0,0,1,1,1,0,158.872
2,1,2,0,1,1,1,0,1,0,46.02
1,2,1,1,0,1,0,1,1,0,113.046
2,1,1,0,1,0,1,1,1,0,49.368
3,2,3,1,0,0,1,0,1,0,42.554
4,3,1,1,0,0,0,1,1,1,39.422
2,2,2,0,1,1,1,1,0,0,74.744
4,1,3,1,1,0,1,0,1,1,23.238
4,3,1,1,1,0,1,1,0,1,50.004
2,2,2,0,1,0,0,0,1,1,57.944
3,3,3,0,0,1,0,1,0,1,67.88
1,2,3,0,0,1,1,1,0,1,142.464
4,1,1,1,1,0,1,0,0,1,21.758
3,1,1,0,0,0,0,1,0,0,33.634
2,1,2,1,0,0,0,1,0,0,46.678
2,2,3,0,1,1,1,0,1,1,62.69
4,2,2,0,0,1,1,0,0,0,36.582
4,2,2,0,0,0,1,1,1,1,33.784
2,3,3,1,1,0,0,0,1,1,72.55
2,3,3,1,1,0,0,0,0,1,83.124
2,1,3,0,0,1,0,1,1,0,49.644
4,2,1,1,0,1,0,1,1,1,30.226
2,1,1,0,1,0,1,0,0,0,45.27
3,2,2,0,1,0,1,1,0,0,53.476
1,1,1,0,1,1,1,1,1,0,93.768
4,2,2,1,0,0,1,1,1,0,31.842
2,1,2,0,1,1,0,0,0,1,45.278
3,2,2,1,1,0,0,1,0,1,46.254
2,3,2,1,1,0,0,1,1,1,76.806
1,2,1,0,0,1,1,1,0,0,141.56
1,1,1,1,1,1,0,1,1,0,86.252
1,3,2,0,1,0,0,1,0,0,180.108
3,2,1,0,1,0,1,1,1,1,45.788
