ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,72760.8
0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,72081.2
1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,76028.2
0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,78024.8
0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,83920.4
1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,78464.6
0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,69291.8
1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,67051.0
1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,66410.2
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,61771.0
0,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,85442.2
0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,73141.6
0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,79325.6
0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,60284.4
0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,87589.6
1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,73347.4
0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,69127.2
1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,100755.8
1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,81686.2
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,90633.2
0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,68499.6
0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,64625.4
1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,83420.8
