spset-old-default,spset-autotuned-fh_1_0,spset-autotuned-fh_1_1,spset-autotuned-fh_1_2,spset-sw-verif,spset-hw-bmc,sp-var-dec-heur,sp-learned-clause-sort-heur,sp-orig-clause-sort-heur,sp-res-order-heur,sp-clause-del-heur,sp-phase-dec-heur,sp-resolution,sp-use-pure-literal-rule,Performance
1,1,0,1,1,1,0,1,1,1,1,0,1,1,0.4560620753393768
1,0,1,0,0,1,1,0,0,1,1,0,1,1,0.4539754472984174
1,1,1,1,1,1,0,1,0,0,0,0,1,1,0.45200874382180395
0,0,0,0,0,1,1,1,1,0,0,0,0,1,0.4501672727140315
1,1,1,0,0,1,0,0,1,0,1,0,0,1,0.4484559447727345
0,1,0,1,0,1,1,0,1,1,1,0,0,1,0.4468792589085552
1,1,1,1,1,1,1,0,0,1,0,1,0,0,0.4454412885595909
0,0,0,1,1,0,1,0,0,1,0,0,0,0,0.44414566944113043
0,0,1,1,0,0,0,0,1,0,0,1,0,1,0.4429955886669701
1,0,1,1,1,1,1,0,0,0,1,0,1,0,0.441993775274084
0,1,0,0,0,0,1,1,0,1,0,1,1,0,0.44114249217780976
1,1,0,1,0,1,0,1,0,0,0,0,1,0,0.4404435295800367
0,0,0,1,1,0,1,1,1,1,0,0,1,1,0.4398981998481435
0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.43950733387765517
0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.4392712789467906
1,0,0,1,1,0,1,1,0,1,1,1,0,1,0.4391898980662616
0,0,1,0,0,0,0,0,0,1,1,0,0,1,0.43926257082288495
0,1,1,1,1,0,0,1,1,1,1,0,0,0,0.43948819571079023
1,1,0,0,1,1,1,0,1,0,0,0,0,1,0.4398651939392752
1,0,1,0,1,0,0,0,0,1,0,1,0,1,0.4403915147016731
0,1,1,0,0,0,0,1,0,1,0,1,0,0,0.44106464188499356
0,1,0,1,0,0,0,1,0,0,0,1,1,1,0.4418816021955707
0,0,1,1,1,0,1,1,0,1,0,0,1,0,0.4428389746715316
0,1,0,1,1,0,1,0,1,0,1,1,1,1,0.44393290154858933
0,0,1,1,0,0,1,0,1,0,1,1,1,1,0.44515910044148826
0,1,1,1,0,0,0,0,1,0,0,1,0,0,0.44651287779938814
1,1,0,1,0,1,0,0,1,0,1,1,0,1,0.447989143589595
1,1,1,0,0,1,0,1,1,0,1,0,1,0,0.449582427160328
1,1,0,1,0,1,1,0,0,0,0,0,1,0,0.45128689422967627
0,1,0,1,1,1,0,1,0,1,0,0,1,0,0.4530963649445487
1,0,0,0,1,0,0,1,1,1,0,0,1,0,0.45500433295027104
0,1,0,1,1,0,1,0,1,0,1,1,1,1,0.45700398540854464
0,1,0,0,0,0,1,0,1,0,1,1,1,1,0.4590882238987513
1,0,0,1,0,1,1,0,1,1,1,1,1,1,0.4612496861350965
1,0,0,0,0,1,1,0,0,1,0,1,0,1,0.46348076842980857
0,0,0,1,0,0,1,1,1,0,1,1,0,1,0.4657736488305825
0,0,1,1,0,0,1,1,1,1,1,0,0,0,0.4681203108586731
