ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,80924.16673024274
0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,80917.55846639827
0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,80908.13618048519
0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,80895.78222924186
1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,80880.38346639786
0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,80861.83179116597
1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,80840.02468924447
1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,80814.86576416553
1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,80786.2652568363
0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,80754.14055113867
1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,80718.41666348216
1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,80679.0267142394
0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,80635.91237903795
0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,80589.02431793345
1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,80538.32258054902
0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,80483.77698533257
0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,80425.36747115811
1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,80363.08441957923
1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,80296.92894613119
0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,80226.91315917353
0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,80153.06038486678
0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,80075.40535698483
1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,79993.99437037761
0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,79908.8853970179
0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,79820.14816368987
1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,79727.86419050467
0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,79632.12678956173
1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,79533.04102320946
0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,79430.72362149897
0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,79325.302858566
1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,79216.91838782033
0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,79105.7210359678
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,78991.872556037
1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,78875.54533973034
1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,78756.9220895669
1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,78636.19545143162
1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,78513.5676082923
0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,78389.24983599015
0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,78263.46202215279
0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,78136.43214941946
1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,78008.39574430455
0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,77879.59529316028
1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,77750.27962682833
0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,77620.70327569592
0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,77491.12579699159
1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,1,77361.8110762704
0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,77233.0266051475
0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,77105.0427374406
0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,76978.13192597778
1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,76852.56794241533
0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,76728.62508249108
0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,76606.57735921146
0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,76486.69768653564
0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,76369.2570561762
1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,76254.52371018323
0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,76142.76231201774
0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,76034.23311884976
1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,75929.19115783635
1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,75827.88540914627
0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,75730.55799849874
1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,75637.44340197594
0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,75548.76766585055
0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,75464.74764414283
0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,75385.59025658396
1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,75311.49176961632
0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,75242.63710300534
0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,75179.19916457239
1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,75121.3382154837
0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,75069.20126844765
1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,75022.92152108044
1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,74982.61782660062
1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,74948.39420390429
1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,74920.33938895701
0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,74898.52642931546
