new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
5,0,1,1,1,20,2,10,89385.70272652233
3,1,0,1,1,60,2048,8,89368.29714501258
5,1,0,1,0,60,8,10,89328.60970490369
2,0,0,0,1,0,256,0,89266.90903615813
3,1,1,0,1,70,256,2,89183.48433128586
4,0,0,0,0,100,256,0,89078.6438884589
2,1,1,0,1,10,1024,2,88952.71367197238
4,0,1,0,1,30,256,0,88806.03589563032
1,0,1,0,1,80,1,4,88638.96763439283
4,0,0,1,1,70,2,10,88451.87946935739
3,1,1,1,1,0,4096,2,88245.15417086742
5,0,0,1,1,60,2,10,88019.18542424502
5,1,1,0,0,0,1024,6,87774.37660233167
5,1,0,1,0,20,1,8,87511.13958869701
2,0,0,1,1,20,4096,4,87229.8936550366
3,0,1,1,1,50,256,10,86931.06439593267
1,1,0,0,0,90,2048,6,86615.08272379343
2,1,1,1,1,70,32,6,86282.38392642322
1,0,0,0,1,40,128,8,85933.40678930383
2,0,0,0,1,10,32,0,85568.59278429335
3,1,1,0,1,100,2048,10,85188.38532607174
4,0,0,1,1,0,256,8,84793.22909728301
2,0,1,0,0,20,8,10,84383.56944294745
2,1,1,0,1,10,2,8,83959.851834341
5,1,1,1,1,70,2048,6,83522.5214021678
3,0,0,1,1,20,2,8,83072.02253848621
2,1,1,0,0,80,2,8,82608.79856648858
4,0,1,1,0,70,256,10,82133.29147688535
2,0,1,0,0,20,8,0,81645.94172930361
5,1,1,0,1,0,16,6,81147.1881167793
4,0,0,1,1,60,256,2,80637.46769110847
1,0,1,0,1,60,4,6,80117.21574651756
4,1,1,1,0,90,2048,8,79586.86585882759
4,0,1,1,0,30,2,10,79046.8499770149
5,1,0,1,1,60,128,8,78497.59856381874
3,0,0,0,0,70,128,0,77939.54078181005
4,0,0,1,1,30,64,4,77373.10472112139
3,0,0,0,1,90,1,0,76798.71766484219
1,1,1,0,1,50,256,0,76216.80638790966
1,0,1,0,1,90,16,0,75627.79748517332
5,0,1,0,0,30,1024,0,75032.11772418107
3,0,0,1,1,100,64,4,74430.19441812712
5,1,1,1,0,70,4096,0,73822.45581431869
1,0,0,0,1,0,4,10,73209.33149345662
5,0,1,0,1,30,1,0,72591.25277498866
1,1,0,1,0,90,256,0,71968.65312378098
5,1,0,1,0,30,16,0,71341.96855336244
2,0,0,0,0,10,8,0,70711.63802103186
1,1,1,0,1,70,64,2,70078.10381017413
3,0,1,1,0,0,8,10,69441.8118952117
4,1,1,1,0,20,256,6,68803.21228472145
1,1,0,0,1,50,16,8,68162.75933837099
1,0,1,0,0,60,4096,4,67520.91205347511
3,1,1,1,0,60,128,2,66878.1343171414
1,0,1,0,0,80,2048,10,66234.89512015956
2,0,0,1,1,50,2048,2,65591.66872899781
