new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,1,0,1,1,100,16,2,17686.0
3,0,1,0,1,80,16,2,12471.4
2,0,1,0,0,100,32,0,4707.6
2,0,1,1,1,80,64,0,17664.4
2,0,0,1,0,100,64,0,17797.2
3,1,0,1,0,100,16,2,12243.2
3,0,0,1,0,80,32,0,12167.4
3,0,1,1,1,100,16,0,12297.4
2,0,1,1,0,100,16,2,17628.8
2,0,0,1,1,90,32,2,17671.6
2,0,0,0,1,80,64,0,4733.8
3,0,0,1,0,100,64,2,12295.6
1,0,1,1,1,90,64,2,17905.6
1,0,0,0,1,100,16,2,17741.8
3,1,0,0,0,80,16,2,12256.2
1,0,1,1,0,80,64,0,17757.6
2,0,1,1,0,80,32,0,17700.4
3,1,1,0,1,80,16,2,12284.0
2,0,1,1,0,90,64,0,17586.6
2,0,0,0,0,80,32,2,4731.0
1,1,1,1,1,100,64,0,17774.6
3,1,0,1,1,80,16,2,12292.8
2,1,1,0,0,90,64,2,4654.6
1,1,0,1,1,100,16,2,17759.0
2,0,0,0,1,100,32,2,4709.4
2,0,0,1,1,100,32,2,17721.6
2,0,0,1,1,90,16,2,17684.2
3,1,0,0,0,100,32,0,12235.6
2,1,0,0,0,80,64,0,4734.4
1,1,1,1,0,100,32,2,17706.6
3,1,0,0,1,90,64,0,12188.0
2,1,1,1,1,90,16,0,17583.6
3,0,1,0,1,80,64,0,12057.2
2,1,1,1,1,80,32,0,17681.4
2,1,1,1,0,100,64,0,17628.4
2,1,0,1,1,80,32,0,17694.4
3,0,1,1,1,90,32,2,11964.4
3,0,0,1,1,80,16,0,12333.2
1,0,0,1,0,80,64,0,17697.8
2,0,1,0,1,100,32,2,4762.4
1,0,0,1,0,100,64,0,17735.2
1,0,1,1,1,100,16,2,17690.8
1,0,1,0,0,100,16,2,17712.4
2,1,0,0,1,100,32,2,4696.8
1,0,1,0,1,80,16,0,17701.0
2,1,0,0,1,100,64,0,4670.8
2,1,0,1,1,100,32,2,17675.0
2,0,1,0,1,80,32,2,4686.8
1,0,0,0,0,80,64,2,17760.8
3,1,1,1,0,90,64,2,12040.6
3,0,0,0,1,100,32,0,12299.6
2,0,0,0,0,100,64,2,4709.4
3,1,1,0,0,80,16,2,12246.2
3,1,0,1,0,90,16,0,12210.2
3,0,0,0,1,80,32,0,12317.6
1,1,0,0,1,80,64,2,17725.0
1,0,1,0,1,100,64,0,17715.4
1,0,1,1,0,90,64,0,17696.4
1,1,1,0,0,90,16,2,17814.2
3,1,1,0,0,100,32,2,12206.8
1,0,1,0,1,90,64,0,17703.8
1,1,0,1,1,100,64,2,17723.0
1,0,1,0,1,100,32,2,17733.4
3,0,0,1,1,90,32,0,12165.0
3,1,1,0,0,100,32,0,12106.2
3,0,0,1,0,90,32,2,12062.0
2,1,0,1,0,80,16,2,17696.0
2,0,0,0,0,90,32,2,4696.6
3,0,1,1,0,100,16,0,12219.8
2,1,0,0,1,80,64,2,4749.8
1,0,1,1,0,100,64,0,17720.8
1,0,0,0,1,90,16,0,17711.2
3,1,0,1,1,90,32,2,12283.8
3,0,1,1,0,100,32,2,12090.6
3,1,0,1,0,80,16,2,12260.4
1,0,0,1,0,100,32,2,17731.8
3,0,0,1,1,80,64,2,12154.6
1,0,0,0,1,90,16,2,17684.4
2,1,1,1,0,80,64,0,17669.0
2,1,1,0,1,90,64,0,4728.4
1,0,1,1,0,100,64,2,17692.0
2,1,0,1,1,100,64,2,17646.6
1,1,0,1,0,80,16,2,17695.4
3,1,1,0,1,100,16,0,12254.0
3,1,1,0,0,90,64,0,12096.4
