fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,0,0,1,0,128,8,256,46366.6
1,1,0,0,1,128,32,4096,133873.0
1,0,1,0,1,128,32,256,134666.4
0,0,0,1,0,256,32,4096,46898.4
0,1,1,1,1,256,8,1024,46674.6
0,0,0,0,1,128,8,256,46184.2
0,0,0,1,0,128,32,256,46457.2
1,0,1,1,0,256,8,4096,135527.8
0,0,1,1,1,128,8,4096,46649.4
0,0,0,1,1,128,8,4096,46615.8
0,1,1,0,0,128,8,1024,46539.2
1,1,1,0,1,256,8,4096,131231.2
0,0,0,1,1,128,32,4096,46343.6
0,0,0,1,1,256,8,1024,46307.6
1,1,1,1,1,128,8,256,130828.8
1,1,1,0,1,256,8,256,132414.6
1,1,0,1,1,128,8,4096,126456.8
1,0,0,0,0,256,32,1024,136341.4
1,1,0,1,1,256,8,256,132543.6
0,0,1,0,0,256,8,256,46381.6
1,0,1,0,1,256,32,4096,138982.6
1,0,1,0,0,256,32,256,136622.0
1,1,0,0,0,256,8,1024,132666.2
0,0,0,1,1,256,32,4096,46507.4
1,0,1,0,1,128,32,4096,138524.6
1,1,1,1,1,256,32,256,130466.0
1,0,1,0,1,128,8,256,136260.8
0,1,1,0,1,256,32,1024,46493.8
1,0,1,0,0,128,8,256,131236.6
0,1,1,0,0,128,32,4096,46145.8
1,0,1,1,0,256,32,4096,138895.2
1,1,0,0,0,256,32,1024,131767.4
0,1,1,0,1,128,32,1024,46436.8
1,0,0,1,1,256,32,1024,135168.4
0,0,0,0,0,256,32,1024,46256.6
0,0,1,1,0,128,8,1024,47024.0
0,0,0,0,1,256,8,256,46100.4
1,0,1,1,1,256,32,1024,139302.2
0,1,0,0,0,128,32,4096,46197.8
0,1,0,1,1,128,8,256,47454.8
0,1,0,0,1,256,32,1024,46191.2
1,1,1,1,0,128,8,1024,129666.0
0,1,0,1,1,128,32,256,46423.2
0,1,1,1,1,256,8,4096,46925.4
1,1,0,0,0,128,8,256,125404.4
0,0,1,1,0,128,32,256,46471.0
1,1,0,0,0,128,32,256,131583.0
1,1,1,0,1,128,32,4096,128474.6
1,1,1,0,1,128,8,1024,132620.2
1,0,1,0,0,256,8,4096,137294.8
0,1,0,0,0,128,8,4096,46379.2
1,0,1,0,0,256,8,1024,138245.2
0,0,0,0,0,256,32,256,46275.0
0,1,1,0,1,128,32,256,46129.8
1,1,0,0,0,256,32,4096,132785.6
0,0,1,1,1,256,8,256,46788.6
0,1,0,1,0,256,8,256,46658.8
1,0,0,0,1,128,8,1024,130543.6
0,0,1,1,1,256,8,1024,46796.2
1,1,1,0,0,128,32,256,134640.4
0,1,0,0,1,128,32,4096,46213.6
0,0,1,0,1,128,32,256,46260.2
0,0,0,1,0,256,8,4096,46597.8
1,1,1,1,1,256,8,1024,131012.4
1,0,0,0,0,128,32,4096,132886.0
1,0,0,1,1,128,8,1024,135632.6
0,1,0,1,0,128,8,4096,46586.4
0,1,1,0,0,256,32,4096,46191.2
0,1,1,1,0,256,8,1024,46824.8
1,0,0,1,0,128,32,256,134485.2
0,0,0,1,1,256,32,256,47443.6
0,1,0,0,0,128,32,1024,46341.0
0,1,1,1,1,128,32,4096,46787.2
0,1,0,1,1,128,8,1024,47354.4
0,1,0,0,1,256,8,4096,46133.4
0,1,1,1,0,128,32,1024,46795.6
0,0,1,1,0,256,8,256,46479.8
0,1,0,1,0,128,32,256,47359.0
1,0,1,0,1,256,32,1024,134690.4
0,1,1,1,1,128,32,256,46742.0
1,1,0,0,1,128,8,4096,133286.0
0,1,1,1,1,128,8,4096,46800.8
0,0,1,0,0,256,32,4096,46148.2
0,1,1,0,1,128,8,4096,46460.8
0,1,1,1,0,128,32,4096,46612.8
1,1,0,1,0,256,32,4096,128968.4
1,1,1,1,1,128,8,1024,130226.0
1,0,0,0,0,128,8,4096,135612.4
0,1,0,0,0,128,8,256,46318.0
0,1,1,1,1,256,32,4096,46325.4
0,1,0,0,1,128,8,4096,46303.0
0,1,1,0,0,128,32,256,46144.0
0,0,1,1,1,128,8,256,46778.0
0,0,1,0,0,128,8,1024,46245.0
0,0,0,0,1,128,32,1024,46299.2
1,0,1,1,0,128,8,256,142638.0
1,1,0,1,1,128,32,4096,131405.0
1,0,0,1,0,128,8,4096,131102.8
0,0,1,0,1,256,32,256,46282.0
1,0,1,1,0,256,32,256,140016.8
0,1,1,0,1,256,32,256,46169.8
1,1,1,1,0,128,32,256,130071.2
0,1,0,1,0,256,32,4096,46756.0
1,0,0,0,0,256,8,1024,131793.4
0,0,1,0,1,256,32,4096,47000.2
0,1,0,0,0,256,32,256,46178.0
1,0,1,1,0,128,32,1024,138660.8
