new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,2,2,1,1,1,1,1,0,1,50.042
3,1,3,0,0,0,1,1,0,0,34.082
2,1,3,1,1,1,0,0,0,1,42.72
4,3,2,1,0,1,0,0,0,0,43.734
4,1,3,0,0,1,0,1,1,0,24.996
1,1,3,0,1,1,0,1,0,1,93.41
2,2,1,1,0,0,0,1,0,0,67.672
1,2,1,1,1,1,0,0,0,0,114.682
3,3,2,1,1,0,0,1,0,1,63.254
1,3,3,1,1,0,0,1,0,1,171.85
1,2,3,1,1,0,1,0,1,1,111.482
2,1,2,0,0,1,1,1,0,0,49.988
4,3,2,0,1,0,0,1,1,1,41.048
2,1,2,1,0,0,1,0,1,1,44.08
3,3,3,1,0,0,1,1,0,0,71.526
1,3,2,0,0,0,1,1,1,0,164.916
4,3,3,0,1,0,0,0,0,0,46.072
2,2,3,1,1,0,1,0,0,0,65.962
3,3,3,1,1,1,1,1,0,1,71.098
1,3,2,1,0,1,1,0,0,0,172.904
4,1,3,1,0,1,0,1,1,1,23.756
2,3,3,1,1,0,0,1,0,0,90.466
2,3,3,1,1,0,1,1,1,1,84.046
4,1,3,0,1,0,1,0,0,1,24.55
4,1,3,0,1,1,1,1,1,0,24.834
1,3,2,0,1,1,1,0,1,1,155.896
3,1,1,0,0,0,1,0,1,0,31.614
1,2,3,0,0,1,1,0,1,1,118.076
1,2,3,1,0,1,0,0,1,0,105.498
1,3,3,0,0,0,0,0,1,0,143.02
3,1,2,0,0,1,0,0,1,1,31.61
4,3,3,1,0,1,1,1,1,1,43.168
4,1,3,0,0,0,1,0,1,0,25.058
1,3,1,0,1,0,1,1,0,0,191.974
4,1,3,0,0,0,0,0,0,0,24.974
4,3,3,0,0,0,1,0,0,0,50.72
4,1,3,1,1,1,1,1,1,0,23.302
2,2,3,0,0,0,1,0,1,0,63.374
4,2,1,0,1,0,1,0,1,1,31.734
1,2,1,0,0,1,1,1,0,1,142.442
4,2,3,0,0,0,1,0,1,1,32.976
3,3,1,0,1,0,0,0,0,1,60.378
3,3,2,0,0,1,1,0,1,0,59.11
3,3,1,1,0,1,1,1,1,1,59.118
3,3,1,0,0,0,1,1,1,0,61.784
3,2,2,0,1,0,0,0,1,1,39.858
1,2,3,0,0,1,0,0,1,1,110.168
4,2,1,0,0,0,1,0,1,1,31.816
3,3,1,1,0,1,0,1,0,1,64.156
3,3,3,0,0,0,1,0,0,1,71.454
2,2,3,0,1,1,0,0,1,0,58.482
3,3,3,1,0,1,0,1,0,0,64.01
2,2,2,0,0,1,0,0,1,1,58.406
4,3,1,0,0,1,1,1,0,0,53.248
4,1,2,0,0,0,1,1,1,1,25.382
3,2,2,0,0,1,0,1,0,1,50.0
2,3,3,0,1,1,1,0,1,0,84.118
4,3,3,0,1,0,0,1,1,0,40.81
2,2,2,1,0,1,0,0,0,0,62.452
4,3,3,0,1,1,1,1,0,1,52.754
1,2,3,0,0,0,0,1,0,1,135.354
3,3,2,1,0,0,1,0,0,0,67.172
1,3,2,1,0,1,1,0,0,1,173.328
2,2,1,1,1,0,0,0,0,1,60.416
2,3,3,1,0,1,0,1,1,0,77.16
2,2,3,1,0,1,0,1,0,1,67.63
1,3,3,0,1,0,1,1,0,1,193.088
1,2,3,0,1,0,0,0,0,1,121.886
2,1,3,0,0,0,1,1,0,0,50.184
1,3,3,1,1,0,1,0,0,1,171.272
4,3,3,0,0,1,0,0,0,1,46.574
2,3,3,1,1,1,0,1,1,1,76.83
1,3,2,0,0,1,0,1,0,0,182.798
1,3,3,1,0,0,0,1,0,0,173.138
3,2,2,0,0,1,1,1,1,0,46.592
4,2,3,1,0,0,0,1,1,0,30.112
4,3,3,0,1,1,1,0,1,1,43.494
2,1,3,1,0,0,1,1,1,0,47.076
3,2,2,0,0,0,0,0,1,0,40.512
2,2,3,0,1,1,1,1,0,1,75.18
4,2,1,0,0,0,1,0,0,0,35.874
1,3,2,0,0,1,1,0,1,0,156.372
2,3,1,1,0,0,0,0,0,0,83.468
4,2,2,0,0,0,1,0,0,1,36.528
2,2,2,1,0,1,0,1,1,0,59.94
3,3,3,1,0,1,1,1,0,0,71.682
4,2,2,1,0,1,0,0,1,1,28.906
4,3,2,1,0,0,1,0,1,1,41.87
4,1,2,0,0,0,0,0,1,1,24.324
2,2,3,1,1,1,0,1,0,0,66.554
4,1,3,0,1,1,0,0,1,1,24.558
2,3,1,0,0,1,0,1,0,1,96.752
4,1,3,1,0,1,0,0,0,0,23.6
1,2,3,1,0,0,0,0,0,1,116.944
1,2,3,0,1,1,0,0,0,0,122.334
1,3,3,1,0,0,0,0,0,1,158.034
2,3,3,0,1,1,1,0,0,1,97.364
2,3,3,0,1,0,1,1,0,0,103.226
2,3,2,0,1,1,1,1,1,0,87.52
2,1,3,1,0,1,0,1,1,0,47.066
2,2,2,0,0,1,1,0,1,1,62.904
1,3,1,0,1,1,0,0,1,1,140.884
1,3,2,1,0,0,0,0,0,1,157.648
4,3,3,0,1,1,0,0,1,0,39.568
4,2,3,1,0,0,1,1,1,1,32.082
1,2,3,1,1,0,1,0,0,1,123.354
3,3,3,1,0,0,0,0,0,0,59.162
3,3,3,1,0,0,1,1,1,0,59.404
1,3,3,1,1,1,0,0,1,1,136.322
1,3,1,0,0,0,0,0,0,1,165.306
3,2,2,1,0,1,0,0,0,0,43.802
3,2,2,1,1,1,0,0,0,1,42.758
2,1,1,1,0,0,1,1,0,1,47.358
2,1,3,0,0,0,1,1,0,1,50.49
4,3,2,0,1,0,1,0,1,0,43.098
3,2,3,1,1,0,0,0,1,1,38.396
3,2,3,0,0,1,0,0,1,0,40.944
2,2,2,0,1,0,0,0,0,1,64.606
3,1,2,1,0,0,1,1,1,0,31.762
3,3,3,0,1,0,1,1,0,0,74.48
1,3,3,0,1,0,0,0,0,1,163.84
4,2,1,1,0,0,1,1,1,1,32.044
4,3,3,0,0,1,1,0,1,0,43.586
1,1,1,0,1,0,1,0,0,1,85.148
1,2,2,1,0,0,1,1,1,1,119.458
4,3,1,0,0,1,1,0,0,1,50.03
2,1,3,1,0,1,0,1,0,0,46.748
1,1,1,0,0,0,0,0,1,1,85.566
3,3,2,1,0,0,0,1,1,1,52.724
1,3,3,0,0,1,1,1,0,0,194.686
2,1,3,1,1,0,1,1,1,1,45.952
3,3,3,1,1,0,0,0,0,0,58.522
1,3,2,0,1,1,0,0,0,0,164.458
3,1,2,1,1,1,0,1,1,0,30.698
2,3,3,1,0,0,1,0,1,0,81.888
3,2,3,0,0,0,0,1,0,1,49.962
1,2,1,1,0,1,1,1,0,0,133.818
3,3,3,0,1,1,0,1,1,0,54.538
3,2,3,1,1,1,1,1,0,1,50.268
3,2,3,1,1,1,0,0,0,0,43.608
3,3,2,1,1,1,1,0,0,1,66.68
1,3,2,0,1,1,1,1,0,0,192.562
2,3,3,1,0,0,0,1,1,1,77.456
3,1,3,1,1,1,1,0,1,1,30.266
4,1,1,0,0,0,1,1,0,1,25.404
1,3,1,1,1,0,1,0,1,1,149.672
3,1,2,1,1,1,0,0,0,0,29.544
2,2,3,1,1,1,1,0,0,1,66.262
4,1,1,1,1,0,0,0,0,0,21.636
4,3,3,1,0,0,1,1,0,1,50.454
3,3,2,1,0,1,1,1,1,0,59.422
1,3,1,1,0,0,1,0,0,0,171.492
1,1,2,1,0,0,0,0,1,0,81.224
2,1,3,1,1,0,0,0,1,0,42.758
3,3,2,0,1,1,0,0,0,0,61.168
3,2,3,1,1,1,0,1,1,0,40.088
1,3,1,0,1,0,0,1,0,0,180.31
4,3,3,0,0,0,0,1,1,1,41.0
1,1,3,1,0,0,1,0,1,1,82.818
4,3,3,1,0,0,0,0,0,1,43.952
3,1,3,1,0,0,0,1,1,1,31.748
2,2,2,0,0,0,0,1,1,0,63.146
4,3,3,1,0,1,0,0,1,1,38.492
3,2,3,1,0,0,0,1,0,1,47.028
2,1,1,0,0,1,1,1,1,1,50.468
1,2,3,0,0,1,0,1,1,0,118.65
3,2,3,1,1,1,0,0,1,0,38.602
1,3,2,0,1,0,1,0,1,1,155.812
2,3,2,1,0,0,1,0,0,1,92.588
1,1,3,1,0,0,1,1,1,1,89.246
4,2,1,0,1,1,0,1,1,0,31.518
4,3,1,0,1,0,1,1,0,1,52.726
3,3,2,1,0,0,1,1,0,1,71.352
4,2,2,1,1,1,0,1,0,0,33.97
2,2,3,0,0,0,0,0,1,0,58.822
2,2,2,1,1,0,1,1,1,1,62.596
2,3,1,0,1,0,1,0,1,0,82.924
3,3,3,0,0,1,1,1,0,1,75.668
3,3,2,1,0,1,0,1,1,0,53.086
4,2,3,0,1,1,0,0,0,0,34.49
1,1,1,1,1,1,0,1,1,0,86.252
4,3,3,1,0,1,1,0,0,0,48.304
1,2,3,0,0,1,0,0,0,1,124.396
2,2,3,0,1,0,1,0,0,0,69.724
4,1,1,1,0,1,0,1,0,1,23.666
1,3,3,1,0,1,0,0,1,0,138.184
2,3,2,0,0,1,1,0,0,0,97.618
2,1,2,1,0,1,0,0,1,0,43.598
1,3,1,1,0,0,1,1,1,1,159.598
1,3,1,0,0,0,0,0,1,0,142.062
4,3,3,0,0,0,0,1,0,1,49.52
3,3,1,0,1,0,1,0,1,1,58.066
3,3,2,0,0,1,0,0,0,1,62.514
4,2,2,0,0,1,1,0,1,0,32.436
1,1,2,1,0,0,0,0,0,0,81.224
4,3,1,1,1,1,1,1,1,0,42.72
4,2,2,0,1,0,1,1,1,0,33.428
4,1,2,1,1,0,1,1,1,1,23.366
1,1,2,1,0,1,1,0,0,1,82.35
3,3,3,1,1,0,0,1,0,1,63.19
3,3,2,1,1,1,1,1,0,1,71.328
2,3,3,0,1,1,0,0,0,0,88.004
4,3,3,0,0,0,0,0,1,1,39.592
2,3,2,0,1,0,0,0,1,0,75.084
1,1,2,0,1,0,1,1,1,0,93.418
4,3,2,1,1,1,0,0,1,0,37.616
3,1,1,0,0,1,0,0,1,0,31.19
2,3,3,1,1,1,0,0,0,1,83.53
3,3,2,1,1,0,1,0,1,0,56.952
1,2,2,1,0,0,0,0,1,1,104.996
3,1,3,1,0,1,1,0,1,1,30.954
3,1,2,0,1,1,0,1,0,1,33.5
1,3,2,1,0,1,1,1,0,1,186.254
2,3,3,0,1,0,1,1,1,0,87.774
4,3,2,1,1,1,0,1,1,1,39.126
1,1,1,0,0,0,1,1,0,0,94.946
2,3,1,0,0,1,0,0,1,0,74.686
1,2,3,1,1,0,0,0,0,1,115.122
1,2,3,1,0,0,0,1,1,1,113.46
3,3,2,0,0,0,1,1,0,1,75.428
1,3,2,0,0,0,0,1,0,0,181.966
3,3,1,1,1,0,1,0,1,1,56.008
1,3,1,1,0,0,1,0,1,1,151.178
1,3,1,0,0,1,1,1,0,1,195.776
3,3,3,1,1,1,0,1,0,0,63.748
3,2,1,0,0,1,0,1,0,0,49.962
4,3,2,1,1,1,0,1,1,0,39.142
4,1,3,0,1,0,0,1,0,1,25.024
1,3,3,0,0,0,0,0,0,0,166.532
3,3,1,0,0,1,1,1,1,0,61.84
2,2,3,0,0,1,1,0,0,0,70.888
3,2,1,1,0,1,0,1,0,0,47.03
2,2,1,0,1,0,1,1,0,1,75.07
4,1,3,0,1,1,1,0,1,0,24.628
4,3,3,1,1,1,1,0,1,0,41.978
4,2,2,1,0,0,0,0,1,0,29.544
